Realm Name,Type,Population
Aegwynn,(PvP),Low
Aerie Peak,Normal,High
Agamaggan,(PvP),Low
Aggramar,Normal,Max (Queued)
Akama,(PvP),Medium
Alexstrasza,Normal,High
Alleria,Normal,Max (Queued)
Altar of Storms,(PvP),Medium
Alterac Mountains,(PvP),Low
Aman'Thul,Normal,Low
Andorhal,(PvP),Medium
Anetheron,(PvP),Low
Antonidas,Normal,High
Anub'arak,(PvP),Low
Anvilmar,Normal,High
Arathor,Normal,Medium
Archimonde,(PvP),Medium
Area 52,Normal,High
Argent Dawn,(RP),Max (Queued)
Arthas,(PvP),Max (Queued)
Arygos,Normal,High
Auchindoun,(PvP),Low
Azgalor,(PvP),Max (Queued)
Azjol-Nerub,Normal,Max (Queued)
Azshara,(PvP),Low
Azuremyst,Normal,High
Baelgun,Normal,Medium
Balnazzar,(PvP),Low
Barthilas,(PvP),Low
Black Dragonflight,(PvP),Max (Queued)
Blackhand,Normal,Max (Queued)
Blackrock,(PvP),High
Blackwater Raiders,(RP),Medium
Blackwing Lair,(PvP),Low
Blade's Edge,Normal,High
Bladefist,Normal,High
Bleeding Hollow,(PvP),Max (Queued)
Blood Furnace,(PvP),Low
Bloodhoof,Normal,High
Bloodscalp,(PvP),Max (Queued)
Bonechewer,(PvP),Max (Queued)
Borean Tundra,Normal,Max (Queued)
Boulderfist,(PvP),Max (Queued)
Bronzebeard,Normal,High
Burning Blade,(PvP),Max (Queued)
Burning Legion,(PvP),Max (Queued)
Caelestrasz,Normal,Low
Cairne,Normal,Medium
Cenarion Circle,(RP),Max (Queued)
Cenarius,Normal,Max (Queued)
Cho'gall,(PvP),Medium
Chromaggus,(PvP),Low
Coilfang,(PvP),Low
Crushridge,(PvP),Max (Queued)
Daggerspine,(PvP),Medium
Dalaran,Normal,Max (Queued)
Dalvengyr,(PvP),Low
Dark Iron,(PvP),Max (Queued)
Darkspear,(PvP),Max (Queued)
Darrowmere,(PvP),Low
Dath'Remar,Normal,Low
Dawnbringer,Normal,Medium
Deathwing,(PvP),Max (Queued)
Demon Soul,(PvP),Low
Dentarg,(PvP),Low
Destromath,(PvP),Max (Queued)
Dethecus,(PvP),Low
Detheroc,(PvP),Medium
Doomhammer,Normal,Max (Queued)
Draenor,Normal,Max (Queued)
Dragonblight,Normal,Max (Queued)
Dragonmaw,(PvP),Max (Queued)
Drak'Tharon,(PvP),Medium
Drak'thul,(PvP),Low
Draka,Normal,High
Drakkari,(PvP),Low
Dreadmaul,(PvP),Low
Drenden,Normal,High
Dunemaul,(PvP),Max (Queued)
Durotan,Normal,Medium
Duskwood,Normal,High
Earthen Ring,(RP),Max (Queued)
Echo Isles,Normal,High
Eitrigg,Normal,Medium
Eldre'Thalas,Normal,Max (Queued)
Elune,Normal,High
Emerald Dream,(RPPvP),Max (Queued)
Eonar,Normal,High
Eredar,(PvP),Medium
Executus,(PvP),Medium
Exodar,Normal,Medium
Farstriders,(RP),Medium
Feathermoon,(RP),High
Fenris,Normal,Medium
Firetree,(PvP),Max (Queued)
Fizzcrank,Normal,Medium
Frostmane,(PvP),Max (Queued)
Frostmourne,(PvP),Low
Frostwolf,(PvP),High
Galakrond,Normal,Medium
Garithos,(PvP),Low
Garona,Normal,Max (Queued)
